left_policy,right_policy,split,pair_index,seed,left_side,outcome,left_objective_completed,right_objective_completed,left_score,right_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,action_tic_inconsistent,score_event_inconsistent,scenario_hash,environment_attempts,score_difference
policy-0200000,policy-1400000,validation,251,245721494,host,draw,True,True,1,1,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1400000,validation,251,245721494,opponent,win,True,True,3,2,345,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-1400000,validation,252,1891682600,host,win,True,False,1,0,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-1400000,validation,252,1891682600,opponent,loss,True,True,1,2,263,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1400000,validation,253,1200430541,host,loss,True,True,1,3,171,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
policy-0200000,policy-1400000,validation,253,1200430541,opponent,win,True,True,3,1,516,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
policy-0200000,policy-1400000,validation,254,1349791374,host,draw,True,True,2,2,405,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1400000,validation,254,1349791374,opponent,loss,True,True,1,2,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1603584,validation,250,1019181764,host,win,False,False,1,0,516,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
policy-0200000,policy-1603584,validation,250,1019181764,opponent,loss,True,True,1,3,187,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
policy-0200000,policy-1603584,validation,251,245721494,host,draw,True,True,2,2,507,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1603584,validation,251,245721494,opponent,loss,True,True,2,3,291,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
policy-0200000,policy-1603584,validation,252,1891682600,host,draw,True,True,2,2,523,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1603584,validation,252,1891682600,opponent,draw,True,True,2,2,323,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
policy-0200000,policy-1603584,validation,253,1200430541,host,loss,True,True,1,3,208,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
