policy,split,opponent,pair_index,seed,learner_side,outcome,objective_completed,learner_score,opponent_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,scenario_hash,action_tic_inconsistent,score_event_inconsistent,environment_attempts,score_difference
ppo,test,random_legal,548,1897213337,host,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,548,1897213337,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,random_legal,549,1259759261,host,win,True,2,0,106,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,549,1259759261,opponent,win,True,2,1,248,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,550,1285345099,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,550,1285345099,opponent,loss,False,0,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,fixed_route,551,1372514006,host,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,551,1372514006,opponent,win,True,3,0,174,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,552,277430222,host,draw,False,0,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,552,277430222,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,553,1056799956,host,draw,False,0,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,553,1056799956,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,554,2135013304,host,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,554,2135013304,opponent,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,555,392251255,host,draw,False,0,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,555,392251255,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,556,1355459062,host,win,True,3,0,200,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,556,1355459062,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,557,2136466332,host,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,557,2136466332,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,558,1424106006,host,win,True,3,0,104,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,558,1424106006,opponent,loss,False,0,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,fixed_route,559,973113502,host,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,559,973113502,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,560,1035551081,host,win,True,3,0,107,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,560,1035551081,opponent,win,True,2,1,320,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,561,1733033907,host,draw,False,0,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,561,1733033907,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,562,1127856413,host,win,True,3,0,229,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,562,1127856413,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,563,376852109,host,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,563,376852109,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,564,63985648,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,564,63985648,opponent,loss,False,0,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,fixed_route,565,707267889,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,565,707267889,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,566,217077751,host,win,True,2,0,113,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,566,217077751,opponent,loss,False,0,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,fixed_route,567,812256088,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,567,812256088,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,568,404340908,host,win,True,2,0,104,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,568,404340908,opponent,loss,False,0,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,fixed_route,569,587855805,host,draw,False,0,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,569,587855805,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,570,839526517,host,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,570,839526517,opponent,win,True,1,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,1
ppo,test,fixed_route,571,1063489195,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,571,1063489195,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,fixed_route,572,205003236,host,win,True,3,0,103,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,572,205003236,opponent,loss,False,0,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,-1
ppo,test,fixed_route,573,889357799,host,win,True,2,0,523,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,573,889357799,opponent,win,True,3,0,174,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,fixed_route,574,261995678,host,win,True,2,0,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,fixed_route,574,261995678,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
